model,predictors,AICc,LL,mR2,cR2,RDF,n_predictors,adjAICc,deltaAICc,delta_adjAICc
total_abundance ~ bait + canopy + (1 | location),canopy,953.0810578127591,-470.08891600315377,NA,NA,94,1,955.0810578127591,0,0
total_abundance ~ bait + ecklonia + (1 | location),ecklonia,955.6867552613301,-471.39176472743924,NA,NA,94,1,957.6867552613301,2.605697448570936,2.605697448570936
total_abundance ~ bait + depth + canopy + (1 | location),depth + canopy,954.2708360183402,-469.5267223569962,NA,NA,93,2,958.2708360183402,1.1897782055810922,3.189778205581092
total_abundance ~ bait + scytothalia + ecklonia + (1 | location),scytothalia + ecklonia,954.3503585352387,-469.5664836154454,NA,NA,93,2,958.3503585352387,1.2693007224795565,3.2693007224795565
total_abundance ~ bait + mean_relief + canopy + (1 | location),mean_relief + canopy,954.6026208936614,-469.6926147946568,NA,NA,93,2,958.6026208936614,1.5215630809022969,3.521563080902297
total_abundance ~ bait + sd_relief + canopy + (1 | location),sd_relief + canopy,955.296526414948,-470.03956755530004,NA,NA,93,2,959.296526414948,2.215468602188821,4.215468602188821
total_abundance ~ bait + depth + ecklonia + (1 | location),depth + ecklonia,956.7519376344875,-470.7672731650698,NA,NA,93,2,960.7519376344875,3.670879821728363,5.670879821728363
total_abundance ~ bait + mean_relief + ecklonia + (1 | location),mean_relief + ecklonia,956.9644248797443,-470.87351678769824,NA,NA,93,2,960.9644248797443,3.8833670669852154,5.883367066985215
total_abundance ~ bait + sd_relief + ecklonia + (1 | location),sd_relief + ecklonia,957.0832224267414,-470.93291556119675,NA,NA,93,2,961.0832224267414,4.002164613982245,6.002164613982245
total_abundance ~ bait + depth + scytothalia + ecklonia + (1 | ,depth + scytothalia + ecklonia,955.2849129681564,-468.8512476928694,NA,NA,92,3,961.2849129681564,2.203855155397264,6.203855155397264
    location),depth + scytothalia + ecklonia,955.2849129681564,-468.8512476928694,NA,NA,92,3,961.2849129681564,2.203855155397264,6.203855155397264
total_abundance ~ bait + macroalgae + ecklonia + (1 | location),macroalgae + ecklonia,957.3911671995044,-471.08688794757825,NA,NA,93,2,961.3911671995044,4.310109386745239,6.310109386745239
total_abundance ~ bait + depth + mean_relief + canopy + (1 | ,depth + mean_relief + canopy,955.6427779384095,-469.03018017799593,NA,NA,92,3,961.6427779384095,2.5617201256503677,6.561720125650368
    location),depth + mean_relief + canopy,955.6427779384095,-469.03018017799593,NA,NA,92,3,961.6427779384095,2.5617201256503677,6.561720125650368
total_abundance ~ bait + scytothalia + macroalgae + ecklonia + ,scytothalia + macroalgae + ecklonia,955.751174120241,-469.0843782689117,NA,NA,92,3,961.751174120241,2.6701163074818623,6.670116307481862
    (1 | location),scytothalia + macroalgae + ecklonia,955.751174120241,-469.0843782689117,NA,NA,92,3,961.751174120241,2.6701163074818623,6.670116307481862
total_abundance ~ bait + macroalgae + (1 | location),macroalgae,960.1120051280024,-473.6043896607754,NA,NA,94,1,962.1120051280024,7.030947315243225,7.030947315243225
total_abundance ~ bait + mean_relief + scytothalia + ecklonia + ,mean_relief + scytothalia + ecklonia,956.235871675913,-469.3267270467477,NA,NA,92,3,962.235871675913,3.1548138631538905,7.1548138631538905
    (1 | location),mean_relief + scytothalia + ecklonia,956.235871675913,-469.3267270467477,NA,NA,92,3,962.235871675913,3.1548138631538905,7.1548138631538905
total_abundance ~ bait + sd_relief + scytothalia + ecklonia + ,sd_relief + scytothalia + ecklonia,956.329881899405,-469.3737321584937,NA,NA,92,3,962.329881899405,3.248824086645868,7.248824086645868
    (1 | location),sd_relief + scytothalia + ecklonia,956.329881899405,-469.3737321584937,NA,NA,92,3,962.329881899405,3.248824086645868,7.248824086645868
total_abundance ~ bait + depth + sd_relief + canopy + (1 | location),depth + sd_relief + canopy,956.6338197364969,-469.5257010770396,NA,NA,92,3,962.6338197364969,3.552761923737762,7.552761923737762
total_abundance ~ bait + mean_relief + sd_relief + canopy + (1 | ,mean_relief + sd_relief + canopy,956.684681333973,-469.5511318757777,NA,NA,92,3,962.684681333973,3.6036235212138763,7.603623521213876
